これから折々お宅へ伺っても宜ござんすか	ええいらっしゃい
三毛や三毛や御飯だよ	あら御師匠さんが呼んでいらっしゃるから、私し帰るわ、よくって？
何別段の事もありませんが、少し考え事をしたら頭痛がしてね。あなたと話しでもしたら直るだろうと思って実は出掛けて来たのですよ	そう。御大事になさいまし。さようなら
ちょっと伺がうが吹い子の向うづらと云うのはどう云う意味かね	へん、手めえが悪体をつかれてる癖に、その訳を聞きゃ世話あねえ、だから正月野郎だって事よ
君が黒君だと云う事は、始めから知ってるさ	知ってるのに、相変らずやってるたあ何だ。何だてえ事よ
ちょいと西川さん、おい西川さんてば、用があるんだよこの人あ。牛肉を一斤すぐ持って来るんだよ。いいかい、分ったかい、牛肉の堅くないところを一斤だよ	へん年に一遍牛肉を誂えると思って、いやに大きな声を出しゃあがらあ。牛肉一斤が隣り近所へ自慢なんだから始末に終えねえ阿魔だ
今度は本当の御馳走だ。結構結構	御めっちの知った事じゃねえ。黙っていろ。うるせえや
それで面白い趣向があるから是非いっしょに来いとおっしゃるので	何ですか、その西洋料理へ行って午飯を食うのについて趣向があるというのですか
さあ、その趣向というのが、その時は私にも分らなかったんですが、いずれあの方の事ですから、何か面白い種があるのだろうと思いまして……	いっしょに行きましたか、なるほど
へへー。君何か変ったものを食おうじゃないかとおっしゃるので	何を食いました
まず献立を見ながらいろいろ料理についての御話しがありました	誂らえない前にですか
ええ	それから
それから首を捻ってボイの方を御覧になって、どうも変ったものもないようだなとおっしゃるとボイは負けぬ気で鴨のロースか小牛のチャップなどは如何ですと云うと、先生は、そんな月並を食いにわざわざここまで来やしないとおっしゃるんで、ボイは月並という意味が分らんものですから妙な顔をして黙っていましたよ	そうでしょう
それから私の方を御向きになって、君仏蘭西や英吉利へ行くと随分天明調や万葉調が食えるんだが、日本じゃどこへ行ったって版で圧したようで、どうも西洋料理へ這入る気がしないと云うような大気で――全体あの方は洋行なすった事があるのですかな	何迷亭が洋行なんかするもんですか、そりゃ金もあり、時もあり、行こうと思えばいつでも行かれるんですがね。大方これから行くつもりのところを、過去に見立てた洒落なんでしょう
そうですか、私はまたいつの間に洋行なさったかと思って、つい真面目に拝聴していました。それに見て来たようになめくじのソップの御話や蛙のシチュの形容をなさるものですから	そりゃ誰かに聞いたんでしょう、うそをつく事はなかなか名人ですからね
